"startwith";"contains";"endswith";"find";"replace";"rawmin";"rawmax";"engmin";"engmax";"unit";"format";"description";"alarmoption";"trendoption"
;;"_SensorTemperature.manual";"_SensorTemperature.manual";"_AUT";;;;;"";"";"0 = OFF, 1 = ON, 2 = AUT";;
;;"_SensorTemperature.error";"_SensorTemperature.error";"_AL4";;;;;;;"Givarfel";p:B;
;;"_SensorTemperature.manualControl";"_SensorTemperature.manualControl";"_OPM";;;;;"°C";"0.0";"Manuellt värde";;

;;"_SensorPressure.sensorValue";"_SensorPressure.sensorValue";"_PV";;;;;"pa";"0";"Mätvärde";;
;;"_SensorPressure.manual";"_SensorPressure.manual";"_AUT";;;;;"";"";"0 = OFF, 1 = ON, 2 = AUT";;
;;"_SensorPressure.error";"_SensorPressure.error";"_AL4";;;;;;;"Givarfel";p:B;
;;"_SensorPressure.manualControl";"_SensorPressure.manualControl";"_OPM";;;;;"pa";"0";"Manuellt värde";;

;;"_sensorHumidity.sensorValue";"_sensorHumidity.sensorValue";"_PV";;;;;"%rh";"0";"Mätvärde";;
;;"_sensorHumidity.manual";"_sensorHumidity.manual";"_AUT";;;;;"";"";"0 = OFF, 1 = ON, 2 = AUT";;
;;"_sensorHumidity.error";"_sensorHumidity.error";"_AL4";;;;;;;"Givarfel";p:B;
;;"_sensorHumidity.manualControl";"_sensorHumidity.manualControl";"_OPM";;;;;"%rh";"0";"Manuellt värde";;

;;"_sensorCarbondioxide.sensorValue";"_sensorCarbondioxide.sensorValue";"_PV";;;;;"ppm";"0";"Mätvärde";;
;;"_sensorCarbondioxide.manual";"_sensorCarbondioxide.manual";"_AUT";;;;;"";"";"0 = OFF, 1 = ON, 2 = AUT";;
;;"_sensorCarbondioxide.error";"_sensorCarbondioxide.error";"_AL4";;;;;;;"Givarfel";p:B;
;;"_sensorCarbondioxide.manualControl";"_sensorCarbondioxide.manualControl";"_OPM";;;;;"ppm";"0";"Manuellt värde";;

;;"_SensorLitresec.sensorValue";"_SensorLitresec.sensorValue";"_PV";;;;;"pa";"0";"Mätvärde";;
;;"_SensorLitresec.manual";"_SensorLitresec.manual";"_AUT";;;;;"";"";"0 = OFF, 1 = ON, 2 = AUT";;
;;"_SensorLitresec.error";"_SensorLitresec.error";"_AL4";;;;;;;"Givarfel";p:B;
;;"_SensorLitresec.manualControl";"_SensorLitresec.manualControl";"_OPM";;;;;"pa";"0";"Manuellt värde";;

;;"_EnergyControl.operation";"_EnergyControl.operation";"_OP";;;;;"%";"0";"Utsignal effektnedstyrning";;
;;"_EnergyControl.effectLimit";"_EnergyControl.effectLimit";"_PV1";;;;;"kw";"0.0";"Aktuell effektgräns ";;

;;"_EnergyControlModule.energySignal";"_EnergyControlModule.energySignal";"_OP";;;;;"%";"";"Effektnedstyrningssignal";;
;;"_EnergyControlModule.switch";"_EnergyControlModule.switch";"_MCMD2";;;;;"";"";"Aktivering effektnedstyrning";;
;;"_EnergyControlModule.Active";"_EnergyControlModule.Active";"_V1";;;;;"";"";"Effektnedstyrning aktiv";;
;;"_EnergyControlModule.output";"_EnergyControlModule.output";"_PV";;;;;"°C";"0.0";"Förskjutning";;


;;"_OperationTime.reset";"_OperationTime.reset";"_RST";;;;;"";"";"Återställning drifttid";;
;;"_OperationTime.totalOperationTime";"_OperationTime.totalOperationTime";"_PV5";;;;;"tim";"0";"Drifttid";;
;;"_OperationTime.totalStarts";"_OperationTime.totalStarts";"_PV6";;;;;"st";"0";"Antal starter";;

;;"_HeatExchangerEfficiency.efficiency";"_HeatExchangerEfficiency.efficiency";"_PV1";;;;;"%";"0";"Verkningsgrad";;
;;"_HeatExchangerEfficiencyConfig.alarmdelayU";"_HeatExchangerEfficiencyConfig.alarmdelayU";"_AD";;;;;"s";"0";"Larmfördröjning låg verkningsgrad";;
;;"_HeatExchangerEfficiencyConfig.alarmLimit";"_HeatExchangerEfficiencyConfig.alarmLimit";"_ADL1";;;;;"%";"0";"Larmgräns låg verkningsgrad";;
;;"_HeatExchangerEfficiencyConfig.controlLimit";"_HeatExchangerEfficiencyConfig.controlLimit";"_ADL2";;;;;"%";"0";"Blockering larm vid utsignal under";;



;;"_koldioxid";"_koldioxid";"";;;;;"ppm";"";"";;
;;"_procent";"_procent";"";;;;;"%";"";"";;
;;"_pressure";"_pressure";"";;;;;"pa";"";"";;
;;"_temperature";"_temperature";"";;;;;"°C";"0.0";"";;
;;"_humidity";"_humidity";"";;;;;"RH%";"0";"";;
;;"_signal";"_signal";"";;;;;"%";"0";"";;
;;"_litresec";"_litresec";"";;;;;"l/s";"0";"";;

;;"_seconds";"_seconds";"";;;;;"sek";"0";"";;
;;"_minutes";"_minutes";"";;;;;"min";"0";"";;
;;"_hours";"_hours";"";;;;;"tim";"0";"";;

;;"_import";"_import";"";;;;;"";"";"";;



;;"_CMD";"_CMD";"_CMD";;;;;"";"";"";;
;;"_TXT";"_TXT";"_TXT";;;;;"";"";"";;
;;"_TXT1";"_TXT1";"_TXT1";;;;;"";"";"";;
;;"_V";"_V";"_V";;;;;"";"";"";;
;;"_V0";"_V0";"_V0";;;;;"";"";"";;
;;"_V1";"_V1";"_V1";;;;;"";"";"";;
;;"_P";"_P";"_P";;;;;"";"";"";;
;;"_I";"_I";"_I";;;;;"";"";"";;




;;"_ClassA";"_ClassA";"";;;;;"";"";"";p:A;
;;"_ClassB";"_ClassB";"";;;;;"";"";"";p:B;
;;"_ClassC";"_ClassC";"";;;;;"";"";"";p:C;

;;"_Class41";"_Class41";"";;;;;"";"";"";p:41;




inofficella
;;"_ConditionOutdoorValve.odtLimit";"_ConditionOutdoorValve.odtLimit";"_SP1";;;;;"°C";"0.0";"Startgräns utetemp.";;
;;"_ConditionOutdoorValve.operationLimitStart";"_ConditionOutdoorValve.operationLimitStart";"_SP2";;;;;"%";"0";"Startgräns ventilläge";;
;;"_ConditionOutdoorValve.operationLimitStop";"_ConditionOutdoorValve.operationLimitStop";"_SP3";;;;;"%";"0";"Stoppgräns ventilläge";;


;;"_HeatingPeriod.startMonth";"_HeatingPeriod.startMonth";"_SP1";;;;;"";"0";"Startmånad för start av blockering värmeperiod";;
;;"_HeatingPeriod.stopMonth";"_HeatingPeriod.stopMonth";"_SP2";;;;;"";"0";"Stoppmånad för stopp av blockering värmeperiod";;
;;"_HeatingPeriod.CurrentMonth";"_HeatingPeriod.CurrentMonth";"_TXT1";;;;;"";"";"Aktuell månad";;
;;"_HeatingPeriod.blockHeatingActive";"_HeatingPeriod.blockHeatingActive";"_V";;;;;"";"";"Indikering aktiv värmeperiod blockering";;

Värmemängdsmätare
;;"_HeatMeter.volume";"_HeatMeter.volume";"_PV1";;;;;"m3";"0.000";"Volym ";;
;;"_HeatMeter.flow";"_HeatMeter.flow";"_PV2";;;;;"m3/h";"0.000";"Flöde ";;
;;"_HeatMeter.energy";"_HeatMeter.energy";"_PV3";;;;;"kWh";"0.000";"Energi ";;
;;"_HeatMeter.power";"_HeatMeter.power";"_PV4";;;;;"kW";"0.0";"Effekt";;
;;"_HeatMeter.diffTemp";"_HeatMeter.diffTemp";"_PV5";;;;;"°C";"0.0";"Temperatur differens";;
;;"_HeatMeter.forwardTemp";"_HeatMeter.forwardTemp";"_PV6";;;;;"°C";"0.0";"Temperatur framledning";;
;;"_HeatMeter.returnTemp";"_HeatMeter.returnTemp";"_PV7";;;;;"°C";"0.0";"Temperatur returledning";;
;;"_HeatMeter.udiSekdId";"_HeatMeter.udiSekdId";"_PV9";;;;;"";"0";"Sekundärid";;

;;"_VolumeMeter.volume";"_VolumeMeter.volume";"_PV1";;;;;"m3";"0.000";"Volym ";;
;;"_VolumeMeter.flow";"_VolumeMeter.flow";"_PV2";;;;;"m3/h";"0.000";"Flöde ";;
;;"_VolumeMeter.udiSekdId";"_VolumeMeter.udiSekdId";"_PV9";;;;;"";"0";"Sekundärid";;



