"startwith";"contains";"endswith";"find";"replace";"rawmin";"rawmax";"engmin";"engmax";"unit";"format";"description";"alarmoption";"trendoption"
;;"_OutdoorCoolPumpControlConditionConfig.odtLimitStart";"_OutdoorCoolPumpControlConditionConfig.odtLimitStart";"_SP1";;;;;"°C";"0.0";"Startgräns utetemp.";;




;;"_CrosslockConfig.supplyFanDelayS";"_CrosslockConfig.supplyFanDelayS";"_SP5";;;;;"s";"";"Uppstartsfördröjning tilluftsfläkt";;
;;"_CrosslockConfig.errorDelayS";"_CrosslockConfig.errorDelayS";"_AD";;;;;"s";"";"Larmfördröjning Korsvisförreglering";;

;;"_DigitalDamperConfig.offDelayS";"_DigitalDamperConfig.offDelayS";"_SP5";;;;;"s";"";"Frånslagsfördröjning";;
;;"_DigitalDamperConfig.onDelayS";"_DigitalDamperConfig.onDelayS";"_SP6";;;;;"s";"";"Tillslagsfördröjning";;

;;"_FireDamperConfig.openAlarmDelay";"_FireDamperConfig.openAlarmDelay";"_AD1";;;;;"s";"";"Larmfördröjning konfikt öppetindikering";;
;;"_FireDamperConfig.closeAlarmDelay";"_FireDamperConfig.closeAlarmDelay";"_AD2";;;;;"s";"";"Larmfördröjning konfikt stängtindikering";;

;;"_HeatCoilConfig.offDelayS";"_HeatCoilConfig.offDelayS";"_SP6";;;;;"s";"";"Frånslagsfördröjning";;
;;"_HeatCoilConfig.onDelayS";"_HeatCoilConfig.onDelayS";"_SP7";;;;;"s";"";"Tillslagsfördröjning";;
;;"_HeatCoilConfig.alarmDelayS";"_HeatCoilConfig.alarmDelayS";"_AD";;;;;"s";"";"Larmfördröjning";;
;;"_HeatCoilConfig.freezeDangerLimit";"_HeatCoilConfig.freezeDangerLimit";"_SP1";;;;;"°C";"0.0";"Fryssvaktsgräns";;
;;"_HeatCoilConfig.freezeDangerMargin";"_HeatCoilConfig.freezeDangerMargin";"_SP2";;;;;"°C";"0.0";"Temperature margin for normal operation";;
;;"_HeatCoilConfig.standbyTemperatureSetpoint";"_HeatCoilConfig.standbyTemperatureSetpoint";"_SP3";;;;;"°C";"0.0";"Börvärde varmhållning vid standby";;
;;"_HeatCoilConfig.odtLimit";"_HeatCoilConfig.odtLimit";"_SP4";;;;;"°C";"0.0";"Startgräns utetemp.";;
